Customer S.No,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchase,Preferred Payment Method,Frequency of Purchase
17,57,Female,Smartphone,Clothing,447.2,Seattle,N/A,Black,Fall,4.3,Active,Credit Card,Express,No,None,Yes,Credit Card,Weekly
18,52,Other,Wristwatch,Beauty,954.94,Boston,S,Silver,All Seasons,2.9,Active,PayPal,Express,Yes,SPRING15,Yes,Apple Pay,Weekly
19,45,Male,sweater,Accessories,253.7,Seattle,N/A,Yellow,Fall,2.0,Active,PayPal,Nextday,Yes,None,No,Credit Card,Bi-Weekly
20,49,Male,Handbag,Bags,382.82,Seattle,M,Green,Winter,3.5,Inactive,Credit Card,Store pickup,No,None,No,Debit Card,Bi-Weekly
21,59,Male,Smartphone,Bags,50.86,Denver,XL,Yellow,Winter,3.9,Active,Google Pay,Express,Yes,SPRING15,Yes,PayPal,Quarterly
22,49,Female,Dress,Bags,906.75,New York,S,Gray,Summer,2.5,Inactive,Google Pay,Store pickup,No,None,No,PayPal,Monthly
23,45,Other,T-Shirt,Clothing,482.82,Los Angeles,N/A,Silver,Winter,2.6,Active,PayPal,Standard,No,None,Yes,Debit Card,Monthly
24,23,Female,Wristwatch,Bags,622.68,Denver,L,Orange,Spring,2.9,Inactive,PayPal,Store pickup,Yes,SPRING15,Yes,Credit Card,Yearly
25,60,Other,Laptop,Electronics,761.14,Houston,L,Black,Fall,3.4,Inactive,Credit Card,Express,Yes,BEAUTY5,Yes,Apple Pay,Yearly
26,52,Female,Handbag,Clothing,15.01,San Francisco,M,Black,Summer,3.3,Inactive,Apple Pay,Nextday,No,None,No,Debit Card,Quarterly
27,48,Other,sweater,Electronics,654.62,Denver,XL,Black,All Seasons,1.5,Inactive,Apple Pay,Store pickup,No,None,Yes,Credit Card,Monthly
28,19,Female,sunglasses,Beauty,197.33,Chicago,L,Gray,Summer,1.5,Inactive,Digital Wallet,Free ship,No,None,Yes,Debit Card,Yearly
29,30,Female,Running Shoes,Accessories,397.84,Denver,XL,Black,All Seasons,3.5,Inactive,Digital Wallet,Express,No,None,Yes,Google Pay,Bi-Weekly
30,58,Female,Running Shoes,Accessories,607.18,Boston,S,Gold,Fall,1.8,Inactive,PayPal,Free ship,Yes,None,No,Apple Pay,Bi-Weekly
31,24,Male,Smartphone,Clothing,378.83,Denver,XL,Purple,Fall,4.4,Active,Debit Card,Free ship,No,None,Yes,Apple Pay,Monthly
32,38,Other,kurta,Clothing,582.72,Seattle,N/A,Green,All Seasons,1.2,Active,Apple Pay,Express,No,None,Yes,Debit Card,Monthly
33,50,Male,Smartphone,Electronics,327.1,New York,M,Green,Fall,2.6,Inactive,PayPal,Standard,Yes,TECH10,Yes,Google Pay,Yearly
34,40,Female,Smartphone,Beauty,69.34,Denver,N/A,White,All Seasons,3.7,Inactive,Credit Card,Store pickup,No,None,Yes,Debit Card,Bi-Weekly
35,31,Male,Running Shoes,Electronics,387.67,Miami,L,Purple,All Seasons,3.6,Inactive,PayPal,Nextday,Yes,SUMMER20,No,Google Pay,Bi-Weekly
36,58,Male,jeans,Clothing,561.72,Los Angeles,M,White,Fall,2.6,Active,Digital Wallet,Express,No,None,No,Apple Pay,Yearly
37,44,Male,kurta,Accessories,963.43,Denver,N/A,Yellow,Winter,1.4,Inactive,Apple Pay,Express,No,None,No,PayPal,Weekly
38,30,Male,sweater,Beauty,397.5,Miami,M,White,Winter,1.6,Active,PayPal,Standard,No,None,Yes,Google Pay,Quarterly
39,18,Male,Smartphone,Electronics,624.22,Miami,M,Green,All Seasons,2.6,Inactive,Digital Wallet,Express,No,None,No,Apple Pay,Quarterly
40,26,Female,Running Shoes,Beauty,503.49,Seattle,XL,Grey,Winter,3.1,Active,Apple Pay,Nextday,No,None,No,Debit Card,Yearly
41,47,Male,Perfume,Bags,69.64,Houston,M,Silver,Winter,1.3,Inactive,Credit Card,Express,Yes,SPRING15,No,Credit Card,Monthly
42,44,Other,Backpack,Bags,131.25,New York,XL,Gray,Winter,1.1,Active,Credit Card,Nextday,No,None,No,Google Pay,Quarterly
43,37,Other,Gaming Console,Accessories,726.18,Miami,M,Olive,Spring,4.7,Active,Google Pay,Express,No,None,No,Credit Card,Bi-Weekly
44,55,Male,kurta,Accessories,218.64,Boston,M,Silver,Fall,4.8,Active,Debit Card,Free ship,Yes,TECH10,No,Apple Pay,Bi-Weekly
45,35,Other,Wristwatch,Accessories,807.52,Boston,M,Olive,Winter,2.7,Inactive,Credit Card,Express,Yes,SPRING15,Yes,Credit Card,Yearly
46,28,Female,Perfume,Beauty,114.34,Miami,L,Blue,Fall,3.8,Active,Google Pay,Standard,Yes,BEAUTY5,No,Debit Card,Bi-Weekly
47,59,Male,Wristwatch,Footwear,29.71,Miami,S,Silver,All Seasons,4.6,Inactive,Credit Card,Store pickup,Yes,TECH10,No,Debit Card,Weekly
48,18,Female,Running Shoes,Bags,542.44,Chicago,XL,Gold,Fall,1.0,Active,Google Pay,Standard,No,None,No,Google Pay,Yearly
49,50,Male,Laptop,Electronics,426.97,Las Vegas,N/A,Gold,Spring,4.4,Active,Google Pay,Express,No,None,No,Apple Pay,Quarterly
50,27,Male,kurta,Bags,420.38,San Francisco,XL,Green,All Seasons,1.9,Inactive,Digital Wallet,Express,No,None,Yes,Apple Pay,Monthly
51,33,Male,Smartphone,Beauty,363.79,Las Vegas,N/A,Grey,All Seasons,5.0,Active,Apple Pay,Nextday,No,None,No,Google Pay,Bi-Weekly
52,37,Other,sunglasses,Accessories,123.3,New York,L,Red,Spring,3.1,Active,Debit Card,Free ship,No,None,No,PayPal,Quarterly
53,48,Other,Smartphone,Bags,521.74,Chicago,XL,Yellow,Spring,2.6,Inactive,Digital Wallet,Store pickup,Yes,TECH10,No,Google Pay,Weekly
54,46,Female,Handbag,Bags,556.83,Chicago,XL,Olive,All Seasons,2.7,Inactive,Credit Card,Standard,No,None,No,PayPal,Quarterly
55,58,Female,kurta,Accessories,343.08,Boston,S,Green,Spring,1.2,Inactive,Digital Wallet,Free ship,Yes,BEAUTY5,No,Debit Card,Monthly
56,49,Male,Running Shoes,Bags,47.1,Los Angeles,M,Olive,Summer,4.8,Inactive,Debit Card,Free ship,Yes,BEAUTY5,Yes,Apple Pay,Bi-Weekly
57,58,Male,Handbag,Clothing,484.02,Seattle,M,Olive,Winter,2.2,Active,Google Pay,Free ship,Yes,TECH10,Yes,PayPal,Weekly
58,32,Male,Gaming Console,Clothing,85.09,Denver,N/A,Gray,All Seasons,1.8,Inactive,Google Pay,Nextday,Yes,TECH10,No,Apple Pay,Monthly
59,30,Female,sunglasses,Electronics,259.28,New York,L,White,All Seasons,4.5,Inactive,Google Pay,Express,No,None,No,Apple Pay,Weekly
60,54,Female,sweater,Electronics,93.93,Denver,M,Blue,All Seasons,1.3,Active,Digital Wallet,Standard,Yes,TECH10,Yes,Apple Pay,Bi-Weekly
61,28,Female,Handbag,Footwear,385.73,Boston,M,Pink,Summer,4.4,Active,Digital Wallet,Free ship,Yes,None,Yes,Debit Card,Weekly
62,37,Other,kurta,Accessories,991.24,Houston,M,Olive,Spring,1.5,Active,Credit Card,Free ship,Yes,BEAUTY5,Yes,Google Pay,Monthly
63,28,Female,sunglasses,Beauty,691.3,New York,XL,Red,Spring,3.8,Active,PayPal,Standard,Yes,BEAUTY5,Yes,Credit Card,Quarterly
64,50,Female,Gaming Console,Electronics,364.64,Chicago,L,Silver,Spring,4.3,Active,Google Pay,Standard,No,None,No,Apple Pay,Weekly
65,56,Female,T-Shirt,Clothing,492.13,Denver,XL,Black,Winter,1.0,Active,Digital Wallet,Express,No,None,Yes,Debit Card,Bi-Weekly
66,43,Female,Handbag,Footwear,390.47,San Francisco,S,Yellow,Fall,4.5,Inactive,Debit Card,Store pickup,No,None,No,Apple Pay,Monthly
67,47,Male,Wristwatch,Beauty,56.18,Las Vegas,XL,Red,Summer,4.3,Active,Apple Pay,Standard,Yes,TECH10,Yes,Debit Card,Yearly
68,34,Female,jeans,Electronics,864.54,Los Angeles,S,Green,All Seasons,1.4,Inactive,Apple Pay,Express,Yes,SUMMER20,No,Credit Card,Yearly
69,28,Male,Handbag,Electronics,567.86,Denver,XL,Olive,Spring,2.1,Inactive,Apple Pay,Nextday,Yes,SUMMER20,No,PayPal,Bi-Weekly
70,25,Male,Running Shoes,Electronics,678.89,Las Vegas,L,Orange,Fall,1.8,Inactive,Google Pay,Store pickup,No,None,Yes,Apple Pay,Yearly
71,53,Other,Laptop,Clothing,113.45,Las Vegas,N/A,Silver,All Seasons,4.8,Inactive,Debit Card,Standard,No,None,No,PayPal,Yearly
72,52,Other,Perfume,Accessories,769.34,Los Angeles,N/A,Red,All Seasons,4.2,Inactive,Google Pay,Free ship,No,None,No,Apple Pay,Weekly
73,36,Other,sunglasses,Clothing,513.51,San Francisco,S,Silver,Spring,2.8,Active,Digital Wallet,Free ship,No,None,No,Apple Pay,Weekly
74,24,Female,Smartphone,Footwear,157.37,San Francisco,XL,Orange,Winter,3.7,Active,Digital Wallet,Standard,No,None,Yes,Debit Card,Bi-Weekly
75,60,Other,sweater,Clothing,997.29,San Francisco,M,Green,Summer,3.2,Inactive,Apple Pay,Express,No,None,Yes,Credit Card,Weekly
76,44,Other,kurta,Clothing,606.39,Los Angeles,XL,Purple,All Seasons,3.0,Active,Apple Pay,Store pickup,Yes,SPRING15,No,Google Pay,Yearly
77,37,Male,Handbag,Accessories,539.16,New York,M,Green,Spring,3.2,Inactive,Digital Wallet,Free ship,Yes,SPRING15,No,Debit Card,Quarterly
78,55,Male,sweater,Electronics,571.27,New York,L,Yellow,Fall,2.3,Inactive,Digital Wallet,Standard,No,None,Yes,PayPal,Monthly
79,29,Other,Running Shoes,Bags,378.11,Los Angeles,XL,Gray,Spring,2.7,Active,Apple Pay,Free ship,Yes,TECH10,No,PayPal,Bi-Weekly
80,40,Other,Smartphone,Electronics,756.55,Las Vegas,M,Grey,All Seasons,4.8,Active,Credit Card,Nextday,No,None,Yes,Debit Card,Monthly
81,47,Male,Smartphone,Accessories,989.0,Houston,N/A,Red,Summer,1.6,Inactive,Debit Card,Free ship,Yes,SPRING15,No,Google Pay,Yearly
82,60,Male,Running Shoes,Electronics,777.06,Houston,L,Purple,All Seasons,4.1,Active,Credit Card,Free ship,No,None,No,PayPal,Yearly
83,58,Female,Perfume,Footwear,34.19,New York,XL,Black,Summer,1.8,Inactive,Google Pay,Store pickup,No,None,No,Debit Card,Weekly
84,38,Female,sweater,Clothing,273.36,Chicago,N/A,White,Spring,4.9,Inactive,PayPal,Express,Yes,None,No,PayPal,Bi-Weekly
85,21,Other,Running Shoes,Accessories,496.45,Houston,XL,Grey,Fall,4.6,Inactive,PayPal,Standard,No,None,No,PayPal,Yearly
86,57,Female,Running Shoes,Electronics,239.47,Los Angeles,L,White,Fall,1.3,Active,Digital Wallet,Free ship,No,None,No,PayPal,Monthly
87,45,Female,Smartphone,Clothing,413.94,Miami,XL,Red,Fall,3.3,Active,Digital Wallet,Nextday,No,None,No,Credit Card,Monthly
88,43,Other,Smartphone,Beauty,937.58,Seattle,S,Green,Spring,2.1,Inactive,Apple Pay,Nextday,Yes,None,Yes,Debit Card,Weekly
89,31,Female,Laptop,Beauty,948.33,Seattle,XL,Pink,Fall,4.2,Active,Digital Wallet,Store pickup,Yes,SPRING15,Yes,Credit Card,Weekly
90,58,Female,Smartphone,Clothing,304.31,San Francisco,L,Purple,Spring,4.6,Active,Google Pay,Free ship,Yes,SPRING15,Yes,PayPal,Yearly
91,42,Other,Running Shoes,Accessories,368.58,Miami,S,Blue,Winter,3.0,Active,Apple Pay,Express,No,None,Yes,Apple Pay,Weekly
92,39,Male,T-Shirt,Clothing,55.4,Chicago,S,Orange,Summer,1.3,Active,PayPal,Standard,No,None,Yes,Debit Card,Yearly
93,31,Other,Gaming Console,Clothing,657.75,New York,S,Gold,All Seasons,2.2,Inactive,PayPal,Standard,No,None,Yes,Credit Card,Yearly
94,48,Male,T-Shirt,Footwear,172.01,Las Vegas,S,Gray,Winter,2.1,Inactive,Debit Card,Store pickup,No,None,Yes,Credit Card,Monthly
95,28,Male,T-Shirt,Clothing,834.12,New York,S,Blue,Winter,4.9,Active,PayPal,Nextday,No,None,No,Apple Pay,Monthly
96,48,Other,Handbag,Footwear,201.44,New York,L,Black,Spring,3.3,Inactive,Digital Wallet,Standard,Yes,TECH10,Yes,PayPal,Quarterly
97,41,Female,Wristwatch,Electronics,864.21,New York,N/A,Gold,Fall,3.7,Active,Apple Pay,Free ship,No,None,No,Google Pay,Quarterly
98,47,Female,Laptop,Clothing,487.14,Los Angeles,XL,Orange,Summer,4.4,Inactive,Google Pay,Free ship,Yes,TECH10,Yes,Debit Card,Monthly
99,51,Male,T-Shirt,Bags,478.83,Chicago,S,Blue,Fall,3.7,Inactive,Google Pay,Store pickup,No,None,No,Google Pay,Monthly
100,53,Other,sunglasses,Electronics,706.54,Houston,S,Grey,All Seasons,1.2,Inactive,Google Pay,Nextday,Yes,SPRING15,Yes,Google Pay,Yearly
101,56,Male,Laptop,Accessories,287.32,Las Vegas,L,Olive,Summer,2.3,Inactive,Digital Wallet,Standard,No,None,No,PayPal,Weekly
102,30,Male,Dress,Accessories,787.27,Miami,N/A,Pink,All Seasons,1.5,Active,Apple Pay,Express,No,None,No,PayPal,Weekly
103,43,Other,sweater,Beauty,775.92,San Francisco,S,Silver,Summer,2.6,Active,Credit Card,Store pickup,Yes,BEAUTY5,No,Debit Card,Weekly
104,23,Female,Gaming Console,Electronics,599.25,Los Angeles,M,Blue,Winter,1.8,Active,Credit Card,Nextday,No,None,Yes,Google Pay,Bi-Weekly
105,55,Male,T-Shirt,Beauty,902.57,New York,S,Grey,Summer,1.9,Active,Credit Card,Express,Yes,None,Yes,Apple Pay,Monthly
106,37,Female,Perfume,Beauty,802.3,Boston,S,Purple,Fall,4.9,Active,Credit Card,Standard,No,None,No,Apple Pay,Yearly
107,49,Female,sweater,Clothing,201.65,Seattle,XL,Pink,All Seasons,3.6,Active,Digital Wallet,Express,Yes,None,No,Apple Pay,Monthly
108,52,Male,Backpack,Bags,149.22,Houston,N/A,Black,Spring,1.3,Inactive,Apple Pay,Standard,Yes,TECH10,Yes,PayPal,Monthly
109,32,Other,kurta,Electronics,876.79,Seattle,M,White,Spring,4.3,Active,Google Pay,Nextday,No,None,Yes,Credit Card,Quarterly
110,37,Female,Gaming Console,Electronics,213.64,Seattle,N/A,Pink,Winter,3.3,Inactive,Google Pay,Store pickup,Yes,BEAUTY5,Yes,Credit Card,Yearly
111,35,Female,Perfume,Accessories,42.86,Seattle,S,Pink,All Seasons,2.1,Inactive,Digital Wallet,Standard,Yes,TECH10,Yes,PayPal,Yearly
112,55,Other,Handbag,Footwear,427.81,Miami,S,Silver,All Seasons,1.8,Active,Credit Card,Express,No,None,No,PayPal,Quarterly
113,60,Female,jeans,Bags,718.66,Chicago,XL,Blue,All Seasons,4.7,Inactive,Digital Wallet,Nextday,No,None,No,Debit Card,Quarterly
114,51,Female,Smartphone,Clothing,220.75,Seattle,S,Grey,Summer,4.2,Inactive,Credit Card,Express,Yes,BEAUTY5,No,Debit Card,Quarterly
115,48,Female,Perfume,Footwear,557.67,Chicago,XL,Grey,Winter,4.5,Active,PayPal,Standard,No,None,Yes,Debit Card,Monthly
116,51,Female,T-Shirt,Bags,264.01,Chicago,S,Silver,Summer,4.2,Inactive,Credit Card,Store pickup,No,None,No,Debit Card,Monthly
117,52,Female,kurta,Beauty,353.21,San Francisco,N/A,Red,Summer,4.1,Inactive,Google Pay,Nextday,Yes,SUMMER20,No,PayPal,Yearly
118,19,Female,Dress,Footwear,917.3,Boston,M,Orange,Spring,2.1,Inactive,Debit Card,Express,No,None,No,Debit Card,Bi-Weekly
119,44,Male,Smartphone,Clothing,247.76,Las Vegas,L,Black,Summer,4.6,Inactive,Google Pay,Nextday,Yes,BEAUTY5,Yes,Credit Card,Weekly
120,38,Other,Running Shoes,Bags,912.45,San Francisco,L,Pink,Fall,1.1,Inactive,Debit Card,Nextday,Yes,SPRING15,Yes,Apple Pay,Bi-Weekly
121,56,Female,Gaming Console,Beauty,913.44,Seattle,XL,Yellow,Spring,2.5,Inactive,Google Pay,Standard,Yes,TECH10,Yes,Credit Card,Monthly
122,31,Female,Wristwatch,Electronics,793.73,Chicago,N/A,Purple,Fall,3.7,Active,PayPal,Express,Yes,BEAUTY5,Yes,Credit Card,Yearly
123,59,Male,Smartphone,Beauty,315.79,Houston,N/A,White,Fall,1.5,Active,Apple Pay,Nextday,No,None,Yes,Apple Pay,Yearly
124,24,Other,sunglasses,Electronics,284.26,Miami,M,Grey,Spring,4.6,Inactive,Google Pay,Free ship,No,None,Yes,PayPal,Monthly
125,42,Male,Gaming Console,Footwear,710.25,Seattle,L,Red,All Seasons,1.4,Inactive,Credit Card,Standard,No,None,Yes,Google Pay,Yearly
126,24,Male,T-Shirt,Beauty,382.77,Los Angeles,S,Olive,Summer,1.1,Active,Apple Pay,Free ship,Yes,SUMMER20,No,Google Pay,Yearly
127,18,Other,Backpack,Electronics,148.37,Chicago,XL,Gray,Winter,3.6,Active,PayPal,Express,No,None,No,Google Pay,Bi-Weekly
128,55,Female,Smartphone,Electronics,796.78,San Francisco,N/A,Pink,Fall,3.9,Inactive,Apple Pay,Free ship,Yes,TECH10,No,Google Pay,Yearly
129,52,Female,Laptop,Clothing,495.51,Houston,L,Blue,Spring,3.5,Inactive,Apple Pay,Store pickup,Yes,TECH10,No,Apple Pay,Monthly
130,45,Female,kurta,Bags,566.46,Seattle,M,Pink,Fall,2.3,Active,Debit Card,Express,Yes,None,No,Debit Card,Yearly
131,54,Female,Dress,Electronics,953.7,Chicago,S,White,Winter,4.3,Active,Google Pay,Express,No,None,Yes,PayPal,Quarterly
132,44,Other,Running Shoes,Clothing,306.36,Seattle,XL,Blue,Spring,2.0,Active,Credit Card,Standard,No,None,No,PayPal,Monthly
133,27,Other,Dress,Beauty,709.69,Miami,XL,Orange,Fall,2.0,Active,Credit Card,Standard,No,None,No,Apple Pay,Weekly
134,59,Female,Smartphone,Accessories,122.54,Las Vegas,M,Gold,Fall,2.0,Inactive,Apple Pay,Free ship,No,None,Yes,Google Pay,Monthly
135,56,Female,Perfume,Beauty,59.15,Miami,N/A,Yellow,Winter,2.3,Inactive,PayPal,Standard,Yes,SUMMER20,Yes,PayPal,Yearly
136,57,Female,kurta,Footwear,343.17,Houston,N/A,Blue,Summer,4.3,Inactive,Google Pay,Store pickup,No,None,No,Apple Pay,Weekly
137,19,Female,Backpack,Accessories,14.28,Chicago,N/A,Gray,Spring,3.4,Inactive,Digital Wallet,Express,Yes,BEAUTY5,Yes,Apple Pay,Weekly
138,32,Female,T-Shirt,Accessories,783.54,Chicago,XL,Blue,Summer,2.7,Active,PayPal,Store pickup,No,None,No,PayPal,Yearly
139,60,Female,jeans,Clothing,51.19,Denver,L,White,All Seasons,4.4,Active,Credit Card,Nextday,No,None,Yes,PayPal,Monthly
140,47,Other,Laptop,Footwear,630.57,Los Angeles,L,Black,Winter,1.1,Inactive,Credit Card,Standard,Yes,TECH10,No,Google Pay,Bi-Weekly
141,36,Other,Gaming Console,Bags,546.05,Chicago,N/A,Yellow,All Seasons,4.2,Active,Debit Card,Express,No,None,No,Credit Card,Quarterly
142,58,Other,T-Shirt,Accessories,786.64,Seattle,L,Silver,Fall,2.5,Active,Debit Card,Free ship,No,None,Yes,Debit Card,Weekly
143,33,Female,Perfume,Footwear,186.47,Denver,S,Gold,All Seasons,3.4,Inactive,Digital Wallet,Express,Yes,BEAUTY5,No,Apple Pay,Bi-Weekly
144,32,Other,Laptop,Electronics,558.94,New York,XL,Gray,Summer,4.8,Active,Credit Card,Nextday,Yes,None,No,Apple Pay,Weekly
145,27,Male,T-Shirt,Footwear,889.41,Boston,M,Blue,Fall,2.3,Inactive,Google Pay,Standard,Yes,TECH10,No,Debit Card,Monthly
146,28,Other,Backpack,Beauty,571.75,Miami,L,White,Fall,4.7,Active,Debit Card,Express,Yes,SPRING15,No,PayPal,Monthly
147,45,Male,Wristwatch,Electronics,902.36,Las Vegas,M,Yellow,Summer,2.1,Inactive,Credit Card,Standard,No,None,No,PayPal,Bi-Weekly
148,22,Other,Wristwatch,Bags,930.34,Chicago,S,Orange,Spring,1.6,Inactive,Debit Card,Store pickup,Yes,None,Yes,Google Pay,Quarterly
149,32,Other,jeans,Footwear,720.44,Los Angeles,XL,Blue,Summer,3.7,Active,Google Pay,Free ship,Yes,SPRING15,Yes,PayPal,Weekly
150,23,Other,sunglasses,Electronics,451.66,Los Angeles,L,White,Spring,1.5,Active,Credit Card,Express,No,None,Yes,Google Pay,Quarterly
151,39,Female,T-Shirt,Bags,488.95,Houston,M,Silver,Winter,2.4,Inactive,Debit Card,Free ship,Yes,SUMMER20,No,Credit Card,Monthly
152,60,Female,Handbag,Footwear,534.35,Denver,S,Pink,Winter,4.0,Inactive,Apple Pay,Store pickup,No,None,No,Debit Card,Quarterly
153,45,Male,Dress,Bags,900.48,Denver,M,Blue,Fall,2.6,Active,Google Pay,Nextday,No,None,No,Google Pay,Bi-Weekly
154,49,Female,Handbag,Bags,713.05,Seattle,XL,Grey,Summer,4.8,Inactive,Debit Card,Express,Yes,SUMMER20,Yes,Google Pay,Monthly
155,44,Male,Laptop,Accessories,633.21,Boston,N/A,Gold,Spring,2.3,Active,Credit Card,Free ship,Yes,None,Yes,Google Pay,Quarterly
156,52,Female,Laptop,Clothing,325.63,Boston,N/A,Red,All Seasons,2.4,Inactive,Credit Card,Store pickup,Yes,SUMMER20,No,Google Pay,Yearly
157,29,Other,jeans,Accessories,576.05,Houston,S,Gray,Spring,2.7,Active,PayPal,Express,Yes,SPRING15,Yes,Credit Card,Quarterly
158,21,Male,T-Shirt,Accessories,362.93,Chicago,XL,Gold,Spring,4.8,Active,Google Pay,Express,No,None,No,Debit Card,Quarterly
159,35,Female,Dress,Bags,151.44,Los Angeles,N/A,Grey,All Seasons,3.0,Active,PayPal,Free ship,Yes,None,No,Credit Card,Quarterly
160,41,Male,T-Shirt,Bags,259.07,Boston,XL,White,All Seasons,2.9,Active,Credit Card,Nextday,Yes,None,Yes,Debit Card,Yearly
161,44,Female,Gaming Console,Footwear,15.68,Las Vegas,XL,Black,Fall,4.4,Inactive,Debit Card,Nextday,No,None,No,Google Pay,Yearly
162,34,Other,Wristwatch,Bags,169.91,New York,M,Red,Winter,1.5,Active,PayPal,Standard,No,None,No,Credit Card,Bi-Weekly
163,18,Male,sweater,Bags,759.41,Las Vegas,M,Silver,All Seasons,3.3,Active,Credit Card,Free ship,Yes,TECH10,Yes,Apple Pay,Quarterly
164,33,Male,Dress,Bags,636.21,San Francisco,N/A,Red,Spring,3.4,Active,Digital Wallet,Free ship,Yes,SPRING15,No,Credit Card,Weekly
165,20,Female,jeans,Accessories,128.8,Houston,XL,Blue,Spring,1.2,Active,Digital Wallet,Store pickup,Yes,SPRING15,Yes,Debit Card,Monthly
166,23,Female,Smartphone,Footwear,535.49,Seattle,L,Green,Fall,1.5,Inactive,PayPal,Express,Yes,SUMMER20,No,PayPal,Quarterly
167,29,Male,Running Shoes,Accessories,222.04,Denver,N/A,Green,Fall,2.5,Active,Google Pay,Express,Yes,SUMMER20,Yes,PayPal,Bi-Weekly
168,38,Male,sweater,Electronics,170.22,Denver,S,Green,Fall,2.4,Active,Apple Pay,Standard,Yes,BEAUTY5,No,Credit Card,Yearly
169,36,Male,Handbag,Footwear,634.75,Seattle,XL,Black,Summer,2.0,Active,Apple Pay,Free ship,No,None,No,PayPal,Yearly
170,58,Female,jeans,Footwear,330.92,Denver,XL,Green,Winter,1.4,Inactive,Apple Pay,Store pickup,No,None,Yes,Google Pay,Yearly
171,53,Male,Dress,Accessories,785.17,New York,XL,Green,All Seasons,4.9,Inactive,Google Pay,Standard,No,None,No,Debit Card,Quarterly
172,28,Female,T-Shirt,Footwear,818.33,Boston,M,Blue,Fall,3.6,Inactive,Debit Card,Express,No,None,Yes,Debit Card,Bi-Weekly
173,20,Female,Handbag,Bags,172.05,Seattle,XL,Black,Summer,4.1,Active,Apple Pay,Store pickup,No,None,Yes,Debit Card,Bi-Weekly
174,32,Male,T-Shirt,Bags,605.23,Seattle,M,Yellow,Fall,3.5,Inactive,Credit Card,Standard,Yes,SUMMER20,No,Google Pay,Yearly
175,25,Other,Wristwatch,Electronics,83.15,Los Angeles,S,Black,Summer,2.6,Inactive,Digital Wallet,Nextday,No,None,Yes,Google Pay,Monthly
176,22,Other,sunglasses,Bags,514.86,Houston,L,Pink,All Seasons,2.5,Inactive,Credit Card,Express,Yes,SPRING15,Yes,Apple Pay,Monthly
177,55,Other,kurta,Bags,880.52,Chicago,M,Green,All Seasons,1.8,Inactive,Google Pay,Nextday,Yes,TECH10,Yes,Credit Card,Monthly
178,40,Female,Handbag,Footwear,370.82,Miami,S,Blue,Winter,3.8,Inactive,Credit Card,Nextday,No,None,No,Google Pay,Weekly
